% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.813142078e+09 +2.813142078e+09 +2.813141457e+09 +2.813141457e+09 +2.3088e+00 -8.9919e-01 -2.9229e+00 -1.6728e+00 +4.6776e+00 -4.9388e+00 +4.6370e+00 +4.3987e+00 +4.4719e+00 +4.3708e+00
3 +1.945300456e+09 +1.945300456e+09 +1.945299835e+09 +1.945299835e+09 +2.4616e+00 -6.5990e-01 -2.9703e+00 -1.6706e+00 +4.7842e+00 -5.0000e+00 +4.3468e+00 +5.0000e+00 +4.5608e+00 +4.0307e+00
219 +1.508499245e+09 +1.508499245e+09 +1.508498624e+09 +1.508498624e+09 +1.8727e+00 -5.0061e-01 -3.0555e+00 -1.5112e+00 +4.5097e+00 -5.0000e+00 +4.4586e+00 +4.6228e+00 +4.0458e+00 +3.5360e+00
3290 +9.780232567e+08 +9.780232567e+08 +9.780226356e+08 +9.780226356e+08 +1.8640e+00 -9.5826e-02 -2.3370e+00 -1.8649e+00 +4.8253e+00 -4.7029e+00 +3.8756e+00 +4.2034e+00 +4.7730e+00 +3.5879e+00
3297 +5.386036118e+08 +5.386036118e+08 +5.386029907e+08 +5.386029907e+08 +6.2490e-01 +1.7301e-01 -2.4997e+00 -2.1777e+00 +4.8737e+00 -4.5682e+00 +2.9520e+00 +3.9743e+00 +4.1001e+00 +2.8687e+00
3303 +3.885276991e+08 +3.885276991e+08 +3.885270780e+08 +3.885270780e+08 +2.1582e-01 +4.7096e-01 -2.1864e+00 -1.9476e+00 +4.7470e+00 -5.0000e+00 +2.5742e+00 +2.8620e+00 +3.8992e+00 +3.0204e+00
3311 +2.339512109e+08 +2.339512109e+08 +2.339505898e+08 +2.339505898e+08 +4.6394e-01 +1.2290e+00 -1.5549e+00 -1.9066e+00 +4.5452e+00 -4.4978e+00 +2.6408e+00 +3.2743e+00 +4.1019e+00 +2.7518e+00
3319 +1.493468773e+08 +1.493468773e+08 +1.493462562e+08 +1.493462562e+08 +2.6980e-01 +1.5718e+00 -1.5122e+00 -1.5899e+00 +4.1082e+00 -4.0514e+00 +2.2315e+00 +3.6379e+00 +4.2352e+00 +2.2033e+00
3341 +9.775105059e+07 +9.775105059e+07 +9.775042948e+07 +9.775042948e+07 +3.9705e-02 +1.7229e+00 -1.8788e+00 -1.3536e+00 +3.9282e+00 -4.2868e+00 +1.9869e+00 +2.6156e+00 +3.4585e+00 +1.4832e+00
3357 +6.256140548e+07 +6.256140548e+07 +6.256078437e+07 +6.256078437e+07 -2.1586e-01 +1.8395e+00 -1.4039e+00 -1.5265e+00 +3.9702e+00 -4.2695e+00 +1.6470e+00 +1.7435e+00 +2.8936e+00 +1.2314e+00
